,CLIMBER,MYEAR,SEX,CITIZEN,SHERPA,DEATHNOTE
33206,Ivan Plotnikov,1997.0,M,Russia,non-sherpa,Disappeared after summiting (died night of 7/8 May)
33211,Alexandre Torochin,1997.0,M,Russia,non-sherpa,Fell about 300m from 8500m
33248,Peter Andreas Kowalzik,1997.0,M,Germany,non-sherpa,Disappeared on summit attempt (ice axe seen just below Second Step)
33272,Tenzing Nuru Sherpa,1997.0,M,Nepal,sherpa,Disappeared on descent near S Smt (fall?)
33318,Malcolm (Mal) Duff,1997.0,M,UK,non-sherpa,Died at BC of apparent heart attack night of 22/23 April
33386,Byung-Soo Choi,1997.0,M,S Korea,non-sherpa,Avalanche enroute to N Col
33474,Francys Distefano-Arsentiev,1998.0,F,USA,non-sherpa,Died in morning of 24 April (reported by Uzbeks to have died around 11 am CST)
33475,Sergei Anatolievich Arsentiev,1998.0,M,Russia,non-sherpa,Disappeared (while returning to rescue wife?) (fall?)
33659,Mark Howard Jennings,1998.0,M,UK,non-sherpa,Died morning just 100m below C4 (unclipped himself from fixed rope and layed down and died)
33705,Roger Buick,1998.0,M,New Zealand,non-sherpa,Died of exposure
33714,Maurice Wilson,1934.0,M,UK,non-sherpa,Wilson died of exposure and exhaustion
33748,Phu Dorje Sherpa,1969.0,M,Nepal,sherpa,Fell into crevasse opened up by an avalanche in Khumbu Icefall
33790,Tony Tighe,1972.0,M,Australia,non-sherpa,Icefall collapse just after mid-day
33793,Jangbu Sherpa,1973.0,M,Nepal,sherpa,
33794,Nima Wangchu Sherpa,1974.0,M,Nepal,sherpa,Killed by avalanche in C1
33795,Pemba Dorje Sherpa,1974.0,M,Nepal,sherpa,Killed by avalanche in C2
33796,Nawang Lotuk Sherpa,1974.0,M,Nepal,sherpa,Killed by avalanche in C2
33797,Lhakpa Sherpa,1974.0,M,Nepal,sherpa,Killed by avalanche in C2
33798,Sanu Wangel Sherpa,1974.0,M,Nepal,sherpa,Killed by avalanche in C2
33825,Norbu Sherpa,1922.0,M,Nepal,sherpa,Avalanche below N Col
33826,Lhakpa Sherpa,1922.0,M,Nepal,sherpa,Avalanche below N Col
33827,Pasang Sherpa,1922.0,M,Nepal,sherpa,Avalanche below N Col
33828,Pema Sherpa,1922.0,M,Nepal,sherpa,Avalanche below N Col
33829,Sange Sherpa,1922.0,M,Nepal,sherpa,Avalanche below N Col
33830,Dorje Sherpa,1922.0,M,Nepal,sherpa,Avalanche below N Col
33831,Temba Sherpa,1922.0,M,Nepal,sherpa,Avalanche below N Col
33832,George Herbert Leigh Mallory,1924.0,M,UK,non-sherpa,Disappeared (fall?) on NE Ridge
33833,Andrew Comyn (Sandy) Irvine,1924.0,M,UK,non-sherpa,Disappeared (fall?) on NE Ridge
33834,Man Bahadur nan,1924.0,M,Nepal,non-sherpa,Died of pneumonia and frostbite at BC
33835,Shamsher Pun,1924.0,M,Nepal,non-sherpa,Died of HACE stroke/brain bloodclot above Rongbuk
33841,Nawang Tshering Sherpa,1962.0,M,Nepal,sherpa,Struck by falling rock at 4 pm on Apr 27 at 6700m just below C4 (died the morning of Apr 28 at 4 am at C3)
33842,Zhi-Qing Shou,1964.0,M,China,non-sherpa,Died of cerebral hemorrhage at North Col in April
33843,Gao-Shu Ma,1966.0,M,China,non-sherpa,Fell at 7450m on descent from campsite at 7790m in May
33844,Kyoshi Narita,1970.0,M,Japan,non-sherpa,Died of heart attack or pulmonary edema during evening meal at C1
33845,Kyak Tsering Sherpa,1970.0,M,Nepal,sherpa,Died of ice serac collapse in Khumbu Icefall
33846,Nima Norbu Sherpa,1970.0,M,Nepal,sherpa,Icefall collapse in Khumbu Icefall
33847,Nima Dorje Sherpa,1970.0,M,Nepal,sherpa,Icefall collapse in Khumbu Icefall
33848,Tshering Tarke Sherpa,1970.0,M,Nepal,sherpa,Icefall collapse in Khumbu Icefall
33849,Pasang Sherpa,1970.0,M,Nepal,sherpa,Icefall collapse in Khumbu Icefall
33850,Kunga Norbu Sherpa,1970.0,M,Nepal,sherpa,Icefall collapse in Khumbu Icefall
33851,Kami Tsering Sherpa,1970.0,M,Nepal,sherpa,Icefall collapse in Khumbu Icefall
33854,Harsh Vardhan Bahuguna,1971.0,M,India,non-sherpa,Died of exposure during storm in late afternoon while descending from C1
33855,Zong-Yue Guo,1975.0,M,China,non-sherpa,Died in fall resulting from exhaustion & lack of oxygen
33856,Dawa Nuru Sherpa,1978.0,M,Nepal,sherpa,Killed by falling ice in Khumbu Icefall
33857,Ming-Ji Shi,1978.0,M,China,non-sherpa,Died of cerebral hemorrhage at 5700m in May
33858,San Luo,1979.0,M,China,non-sherpa,
33859,Nima Tashi nan,1979.0,M,China,non-sherpa,
33860,Hong-Bao Wang,1979.0,M,China,non-sherpa,
33865,Akira Ube,1980.0,M,Japan,non-sherpa,Snow avalanche approaching C5 on N Face route
33866,Nawang Kersang Sherpa,1980.0,M,Nepal,sherpa,Icefall collapse in Khumbu Icefall very early morning (est. 6 am)
33877,Peter David Boardman,1982.0,M,UK,non-sherpa,Disappeared on NE Ridge on May 17
33878,Joseph Thomas (Joe) Tasker,1982.0,M,UK,non-sherpa,Disappeared on NE Ridge on May 17
33882,Nima Dorje Sherpa,1982.0,M,Nepal,sherpa,Fell while descending from summit bid
33883,Lhakpa Tshering Sherpa,1982.0,M,Nepal,sherpa,
33885,Pasang Sana Sherpa,1982.0,M,Nepal,sherpa,Killed by avalanche in Khumbu Icefall
33886,Ang Chuldin Sherpa,1982.0,M,Nepal,sherpa,Killed by avalanche in Khumbu Icefall
33887,Dawa Dorje Sherpa,1982.0,M,Nepal,sherpa,Killed by avalanche in Khumbu Icefall
33928,Nun Thapa,1992.0,M,Nepal,non-sherpa,
