,PKNAME
798,5
799,4
800,3
801,4
802,2
803,1
804,4
805,4
806,1
807,4
808,5
809,2
810,1
811,2
812,8
813,3
814,1
815,5
816,1
817,5
818,1
819,3
820,5
821,7
822,6
823,1
824,4
825,1
826,5
827,1
828,1
829,7
830,1
831,1
832,1
833,1
834,3
835,3
836,3
837,2
838,1
839,4
840,8
841,1
842,6
843,2
844,2
845,3
846,2
847,4
848,8
849,1
850,1
851,2
852,5
853,8
854,2
855,11
856,6
857,3
858,4
859,7
860,9
861,2
862,1
863,2
864,2
865,1
866,3
867,2
868,1
869,8
870,2
871,2
872,1
873,11
874,3
875,3
876,3
877,11
878,12
879,1
880,1
881,2
882,5
883,9
884,2
885,13
886,6
887,2
888,1
889,3
890,4
891,2
892,1
893,4
894,7
895,1
896,8
897,3
898,2
899,4
900,1
901,1
902,2
903,2
904,1
905,2
906,1
907,3
908,1
909,15
910,1
911,1
912,3
913,1
914,1
915,2
916,3
917,3
918,3
919,1
920,2
921,1
922,10
923,5
924,2
925,3
926,1
927,3
928,4
929,3
930,2
931,1
932,2
933,2
934,1
935,12
936,1
937,7
938,1
939,6
940,2
941,2
942,2
943,2
944,3
945,2
946,7
947,5
948,14
949,4
950,2
951,4
952,3
953,3
954,6
955,10
956,6
957,1
958,1
959,6
960,3
961,2
962,12
963,1
964,7
965,1
966,7
967,9
968,2
969,3
970,4
971,3
972,4
973,3
974,1
975,8
976,6
977,8
978,11
979,5
980,1
981,8
982,8
983,3
984,2
985,3
986,2
987,4
988,1
989,1
990,4
991,9
992,2
993,11
994,1
995,4
996,3
997,2
998,6
999,3
1000,3
1001,9
1002,3
1003,5
1004,3
1005,3
1006,11
1007,3
1008,8
1009,3
1010,1
1011,2
1012,2
1013,1
1014,2
1015,1
1016,1
1017,2
1018,1
1019,1
1020,6
1021,1
1022,11
1023,2
1024,6
1025,4
1026,2
1027,1
1028,1
1029,3
1030,9
1031,1
1032,1
1033,1
1034,1
1035,1
1036,1
1037,1
1038,4
1039,1
1040,10
1041,1
1042,1
1043,4
1044,3
1045,3
1046,12
1047,2
1048,1
1049,4
1050,2
1051,4
1052,4
1053,6
1054,3
1055,1
1056,1
1057,9
1058,3
1059,1
1060,1
1061,6
1062,1
1063,1
1064,1
1065,1
1066,1
1067,3
1068,1
1069,1
1070,4
1071,2
1072,1
1073,1
1074,1
1075,1
1076,4
1077,4
1078,1
1079,14
1080,5
1081,4
1082,10
1083,5
1084,1
1085,3
1086,5
1087,7
1088,8
1089,2
1090,4
1091,4
1092,2
1093,4
1094,1
1095,1
1096,3
1097,2
1098,6
1099,3
1100,1
1101,1
1102,1
1103,14
1104,5
1105,3
1106,1
1107,8
1108,3
1109,2
1110,4
1111,5
1112,1
1113,4
1114,1
1115,1
1116,11
1117,3
1118,2
1119,3
1120,7
1121,4
1122,3
1123,1
1124,5
1125,3
1126,5
1127,1
1128,9
1129,1
1130,11
1131,4
1132,2
1133,1
1134,3
1135,1
1136,1
1137,2
1138,2
1139,5
1140,4
1141,5
1142,3
1143,2
1144,1
1145,1
1146,2
1147,1
1148,1
1149,1
1150,2
1151,1
1152,2
1153,2
1154,2
1155,4
1156,4
1157,1
1158,1
1159,4
1160,1
1161,5
1162,11
1163,6
1164,3
1165,5
1166,2
1167,3
1168,1
1169,1
1170,7
1171,6
1172,9
1173,4
1174,10
1175,1
1176,10
1177,4
1178,2
1179,1
1180,6
1181,2
1182,5
1183,2
1184,1
1185,2
1186,1
1187,4
1188,4
1189,1
1190,1
1191,1
1192,2
1193,1
1194,1
1195,2
1196,2
1197,2
1198,1
1199,3
1200,11
1201,2
1202,2
1203,4
1204,1
1205,1
1206,3
1207,3
1208,5
1209,1
1210,9
1211,4
1212,10
1213,1
1214,3
1215,8
1216,6
1217,7
1218,2
1219,9
1220,11
1221,5
1222,2
1223,3
1224,3
1225,7
1226,2
1227,16
1228,1
1229,1
1230,6
1231,9
1232,3
1233,2
1234,2
1235,4
1236,8
1237,4
1238,9
1239,3
1240,1
1241,3
1242,1
1243,1
1244,4
1245,5
1246,2
1247,4
1248,1
1249,1
1250,4
1251,1
1252,1
1253,1
1254,1
0,1
1,1
2,1
3,1
4,1
5,2
6,1
7,1
8,1
9,2
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,2
20,1
21,1
22,2
23,1
24,1
25,1
26,1
27,2
28,1
29,6
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,2
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,2
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,10
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,2
104,1
105,1
106,1
107,1
108,2
109,1
110,1
111,2
112,1
113,1
114,1
115,2
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,2
132,1
133,1
134,1
135,1
136,2
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,4
154,2
155,1
156,1
157,1
158,1
159,1
160,1
161,1
162,1
163,1
164,2
165,1
166,1
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,3
175,1
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,2
190,2
191,1
192,1
193,1
194,1
195,3
196,1
197,1
198,1
199,1
200,1
201,1
202,1
203,2
204,2
205,1
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,1
214,1
215,1
216,1
217,1
218,1
219,1
220,1
221,1
222,3
223,1
224,4
225,1
226,1
227,1
228,1
229,1
230,1
231,1
232,1
233,1
234,1
235,1
236,2
237,3
238,2
239,2
240,1
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,1
249,1
250,1
251,1
252,1
253,1
254,1
255,1
256,1
257,1
258,1
259,3
260,1
261,1
262,1
263,1
264,1
265,1
266,1
267,1
268,1
269,6
270,1
271,1
272,1
273,1
274,1
275,1
276,1
277,1
278,1
279,1
280,1
281,1
282,1
283,1
284,1
285,3
286,3
287,1
288,1
289,1
290,1
291,1
292,1
293,1
294,1
295,1
296,1
297,1
298,1
299,1
300,1
301,1
302,1
303,1
304,1
305,1
306,1
307,1
308,3
309,1
310,1
311,3
312,1
313,1
314,1
315,1
316,1
317,1
318,1
319,2
320,1
321,1
322,1
323,1
324,1
325,1
326,2
327,1
328,1
329,1
330,1
331,2
332,1
333,2
334,1
335,1
336,1
337,1
338,1
339,2
340,1
341,1
342,1
343,1
344,1
345,1
346,1
347,2
348,1
349,1
350,1
351,2
352,1
353,1
354,1
355,1
356,1
357,1
358,1
359,1
360,1
361,1
362,3
363,1
364,1
365,1
366,1
367,1
368,1
369,1
370,1
371,1
372,1
373,1
374,1
375,1
376,1
377,1
378,1
379,1
380,1
381,1
382,1
383,1
384,1
385,1
386,1
387,1
388,1
389,1
390,1
391,1
392,1
393,1
394,1
395,1
396,1
397,2
398,1
399,1
400,1
401,1
402,1
403,5
404,1
405,1
406,1
407,1
408,1
409,1
410,1
411,1
412,1
413,1
414,1
415,2
416,1
417,1
418,1
419,1
420,1
421,1
422,1
423,1
424,1
425,1
426,1
427,1
428,1
429,1
430,1
431,1
432,1
433,1
434,1
435,1
436,2
437,1
438,1
439,1
440,1
441,1
442,2
443,1
444,1
445,3
446,1
447,1
448,3
449,1
450,1
451,1
452,1
453,1
454,1
455,1
456,1
457,1
458,1
459,1
460,1
461,1
462,1
463,1
464,1
465,1
466,1
467,1
468,1
469,1
470,1
471,1
472,1
473,1
474,1
475,1
476,1
477,1
478,1
479,1
480,2
481,2
482,1
483,1
484,1
485,1
486,1
487,1
488,1
489,1
490,3
491,1
492,1
493,1
494,1
495,1
496,1
497,1
498,1
499,1
500,1
501,1
502,1
503,1
504,1
505,1
506,1
507,1
508,1
509,1
510,1
511,1
512,1
513,2
514,1
515,1
516,1
517,1
518,1
519,1
520,1
521,1
522,1
523,1
524,1
525,1
526,1
527,1
528,1
529,1
530,1
531,1
532,1
533,1
534,1
535,1
536,2
537,1
538,1
539,3
540,1
541,1
542,1
543,1
544,1
545,1
546,1
547,1
548,1
549,1
550,1
551,1
552,1
553,1
554,5
555,1
556,2
557,1
558,1
559,1
560,1
561,1
562,1
563,1
564,1
565,1
566,3
567,1
568,1
569,1
570,2
571,1
572,1
573,1
574,1
575,1
576,1
577,1
578,1
579,1
580,1
581,1
582,1
583,1
584,1
585,1
586,2
587,1
588,1
589,1
590,1
591,1
592,1
593,1
594,5
595,1
596,2
597,7
598,1
599,1
600,1
601,1
602,1
603,5
604,1
605,12
606,1
607,1
608,1
609,1
610,1
611,1
612,1
613,1
614,1
615,1
616,1
617,1
618,4
619,1
620,2
621,3
622,3
623,1
624,2
625,3
626,1
627,3
628,2
629,1
630,1
631,3
632,1
633,1
634,1
635,1
636,1
637,1
638,5
639,10
640,1
641,2
642,1
643,1
644,1
645,1
646,1
647,1
648,1
649,1
650,1
651,1
652,1
653,1
654,1
655,2
656,1
657,1
658,1
659,1
660,1
661,1
662,1
663,1
664,1
665,1
666,1
667,1
668,2
669,1
670,1
671,1
672,1
673,1
674,1
675,1
676,1
677,1
678,1
679,1
680,1
681,1
682,1
683,1
684,1
685,1
686,1
687,1
688,1
689,2
690,1
691,1
692,1
693,1
694,1
695,1
696,1
697,1
698,1
699,1
700,2
701,1
702,1
703,1
704,1
705,2
706,1
707,1
708,1
709,1
710,1
711,4
712,1
713,1
714,1
715,1
716,1
717,1
718,1
719,1
720,1
721,1
722,1
723,2
724,1
725,1
726,1
727,1
728,1
729,1
730,1
731,1
732,1
733,1
734,1
735,2
736,1
737,4
738,1
739,1
740,3
741,1
742,1
743,1
744,1
745,1
746,2
747,1
748,2
749,1
750,1
751,1
752,1
753,1
754,1
755,1
756,3
757,1
758,3
759,1
760,1
761,1
762,1
763,1
764,1
765,1
766,6
767,1
768,1
769,1
770,1
771,1
772,1
773,1
774,1
775,1
776,1
777,1
778,1
779,1
780,1
781,1
782,1
783,1
784,1
785,1
786,1
787,1
788,2
789,1
790,1
791,1
792,1
793,1
794,1
795,1
796,1
797,1
798,1
799,1
800,1
801,1
802,1
803,1
804,1
805,1
806,1
807,1
808,1
809,1
810,1
811,2
812,1
813,1
814,1
815,1
816,1
817,5
818,1
819,1
820,1
821,1
822,1
823,15
824,1
825,1
826,1
827,1
828,6
829,1
830,1
831,1
832,1
833,1
834,5
835,1
836,1
837,1
838,1
839,1
840,2
841,1
842,2
843,1
844,1
845,1
846,1
847,1
848,5
849,2
850,7
851,1
852,2
853,1
854,1
855,1
856,1
857,1
858,2
859,2
860,1
861,5
862,1
863,1
864,10
865,1
866,1
867,1
868,1
869,4
870,1
871,3
872,1
873,7
874,1
875,4
876,1
877,2
878,1
879,1
880,1
881,1
882,9
883,1
884,1
885,1
886,1
887,1
888,1
889,1
890,1
891,1
892,1
893,4
894,1
895,1
896,1
897,2
898,1
899,1
900,1
901,1
902,1
903,1
904,1
905,2
906,1
907,1
908,1
909,1
910,1
911,3
912,1
913,1
914,1
915,1
916,1
917,1
918,1
919,1
920,1
921,1
922,1
923,1
924,1
925,1
926,1
927,1
928,2
929,1
930,1
931,1
932,1
933,2
934,1
935,1
936,1
937,1
938,1
939,1
940,1
941,1
942,1
943,1
944,2
945,1
946,1
947,1
948,1
949,1
950,1
951,1
952,1
953,1
954,1
955,1
956,1
957,1
958,1
959,1
960,1
961,1
962,1
963,1
964,1
965,1
966,1
967,10
968,1
969,1
970,1
971,1
972,1
973,1
974,1
975,1
976,1
977,1
978,1
979,1
980,2
981,2
982,4
983,7
984,1
985,12
986,1
987,1
988,1
989,1
990,1
991,1
992,1
993,1
994,1
995,1
996,1
997,1
998,1
999,1
1000,1
1001,1
1002,1
1003,1
1004,1
1005,1
1006,1
1007,1
1008,3
1009,1
1010,1
1011,1
1012,1
1013,1
1014,1
1015,1
1016,1
1017,1
1018,1
1019,1
1020,1
1021,1
1022,2
1023,1
1024,1
1025,5
1026,7
1027,1
1028,3
1029,1
1030,1
1031,1
1032,1
1033,1
1034,1
1035,1
1036,1
1037,1
1038,1
1039,1
1040,1
1041,1
1042,1
1043,1
1044,1
1045,1
1046,1
1047,1
1048,2
1049,1
1050,3
1051,1
1052,1
1053,1
1054,1
1055,1
1056,1
1057,1
1058,1
1059,1
1060,1
1061,1
1062,1
1063,1
1064,4
1065,2
1066,1
1067,1
1068,1
1069,2
1070,1
1071,1
1072,1
1073,1
1074,1
1075,1
1076,1
1077,1
1078,1
1079,1
1080,1
1081,1
1082,1
1083,1
1084,1
1085,1
1086,1
1087,1
1088,3
1089,2
1090,1
1091,1
1092,1
1093,1
1094,1
1095,1
1096,1
1097,1
1098,1
1099,1
1100,1
1101,1
1102,1
1103,1
1104,1
1105,1
1106,1
1107,1
1108,1
1109,1
1110,1
1111,2
1112,1
1113,1
1114,1
1115,1
1116,1
1117,1
1118,4
1119,1
1120,1
1121,1
1122,1
1123,2
1124,2
1125,1
1126,1
1127,1
1128,1
1129,1
1130,1
1131,1
1132,4
1133,1
1134,1
1135,1
1136,1
1137,1
1138,1
1139,1
1140,1
1141,1
1142,1
1143,1
1144,1
1145,1
1146,1
1147,1
1148,1
1149,1
